KeywordID,CategoryID
1,1
2,2
3,2
4,2
5,3
6,3
7,3
8,3
8,3
8,3
9,2
8,3
10,2
5,3
11,2
12,3
13,2
5,3
14,2
5,3
2,2
8,3
5,3
15,2
8,3
16,2
17,2
5,3
18,2
5,3
8,3
19,2
20,2
21,2
22,2
5,3
23,2
5,3
5,3
5,3
24,2
25,1
5,3
26,2
5,3
27,3
3,2
28,2
29,2
5,3
2,2
2,2
20,2
2,2
30,1
13,2
2,2
2,2
2,2
9,2
13,2
2,2
2,2
31,4
32,2
33,2
2,2
31,4
34,4
35,2
13,2
34,4
31,4
34,4
35,2
36,1
34,4
34,4
31,4
34,4
34,4
34,4
37,4
34,4
34,4
34,4
7,3
38,3
7,3
34,4
39,3
40,3
38,3
41,3
34,4
38,3
7,3
42,5
43,3
44,3
7,3
38,3
45,1
46,3
47,3
48,3
49,3
50,3
38,3
51,6
52,3
53,3
54,3
55,3
38,3
56,3
7,3
57,3
34,4
58,3
7,3
59,3
8,3
60,3
61,1
62,1
63,3
64,1
43,3
38,3
65,5
7,3
66,5
67,1
65,5
68,3
42,5
7,3
69,3
7,3
7,3
70,3
71,3
72,1
73,3
74,3
57,3
74,3
75,3
76,1
77,3
7,3
78,3
38,3
43,3
79,3
80,1
66,5
7,3
7,3
7,3
7,3
81,1
82,1
43,3
42,5
42,5
83,1
84,1
54,3
42,5
64,1
38,3
64,1
85,1
42,5
42,5
42,5
86,6
87,5
88,5
42,5
89,5
42,5
90,5
42,5
42,5
91,5
92,5
93,5
87,5
42,5
42,5
42,5
42,5
42,5
42,5
42,5
42,5
42,5
94,4
95,5
42,5
96,4
42,5
42,5
42,5
97,5
98,5
99,5
100,5
42,5
101,6
42,5
42,5
102,5
103,1
104,5
42,5
105,5
106,5
106,5
42,5
42,5
42,5
42,5
107,5
107,5
42,5
107,5
108,5
107,5
109,5
42,5
42,5
82,1
42,5
102,5
42,5
42,5
102,5
110,4
111,5
112,1
113,5
111,5
111,5
111,5
114,2
114,2
110,4
106,5
9,2
114,2
42,5
115,2
116,2
117,2
118,2
119,2
120,2
110,4
121,2
114,2
114,2
122,1
123,2
124,2
19,2
125,2
126,2
114,2
19,2
127,2
128,2
114,2
129,2
114,2
130,2
131,2
132,2
133,1
134,2
114,2
135,2
24,2
136,2
137,2
19,2
138,2
139,2
140,2
141,2
114,2
31,4
142,2
143,2
144,4
31,4
144,4
144,4
144,4
145,5
31,4
144,4
3,2
146,2
114,2
3,2
31,4
147,4
144,4
114,2
144,4
148,2
2,2
149,4
31,4
65,6
150,6
151,6
152,6
153,6
154,6
154,6
65,6
155,7
156,6
157,6
153,6
65,6
65,6
154,6
150,6
154,6
154,6
150,6
158,8
159,6
154,6
160,6
154,6
154,6
161,9
154,6
65,6
150,6
65,6
151,6
65,6
65,6
65,6
162,6
151,6
65,6
151,6
151,6
65,6
65,6
163,6
154,6
163,6
155,7
164,6
163,6
163,6
153,6
65,6
163,6
163,6
165,6
166,6
154,6
154,6
164,6
150,6
167,6
154,6
65,6
168,6
154,6
169,6
170,6
171,6
65,6
65,6
151,6
154,6
172,6
151,6
65,6
150,6
173,10
174,10
175,10
176,10
177,10
177,10
177,10
178,10
179,10
180,10
174,10
146,10
181,10
182,10
177,10
174,10
183,10
146,10
174,10
146,10
177,10
177,10
184,10
185,10
177,10
185,10
174,10
174,10
174,10
177,10
174,10
173,10
186,10
187,10
174,10
173,10
174,10
174,10
146,10
146,10
186,10
188,10
186,10
177,10
174,10
174,10
174,10
146,10
174,10
174,10
146,10
174,10
146,10
174,10
177,10
187,10
146,10
174,10
146,10
186,10
146,10
177,10
146,10
173,10
186,10
174,10
146,10
186,10
177,10
146,10
189,10
186,10
186,10
174,10
174,10
146,10
146,10
174,10
174,10
190,10
190,10
174,10
174,10
190,10
174,10
191,10
174,10
173,10
177,10
192,10
190,10
174,10
174,10
174,10
174,10
174,10
193,10
174,10
173,10
146,10
174,10
146,10
174,10
194,10
174,10
146,10
146,10
195,10
177,10
196,10
185,10
185,10
174,10
174,10
146,10
197,11
174,10
174,10
174,10
174,10
146,10
174,10
177,10
174,10
146,10
177,10
174,10
174,10
198,10
173,10
174,10
177,10
174,10
199,10
174,10
174,10
173,10
146,10
146,10
174,10
174,10
174,10
174,10
146,10
174,10
200,11
194,10
174,10
146,10
146,10
185,10
146,10
174,10
146,10
174,10
146,10
173,10
177,10
146,10
174,10
174,10
174,10
174,10
174,10
146,10
174,10
174,10
173,10
146,10
174,10
201,10
